iteration,ticker,date,reasoning,action
1,TSLA,2019-06-28,Je dois d'abord connaître le régime de marché pour TSLA le 2019-06-28,get_regime
2,TSLA,2019-06-28,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-06-28,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-03-08,Je dois d'abord connaître le régime de marché pour TSLA le 2019-03-08,get_regime
2,TSLA,2019-03-08,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-03-08,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2020-03-19,Je dois d'abord connaître le régime de marché pour TSLA le 2020-03-19,get_regime
2,TSLA,2020-03-19,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2020-03-19,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-08-08,Je dois d'abord connaître le régime de marché pour TSLA le 2019-08-08,get_regime
2,TSLA,2019-08-08,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-08-08,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-05-08,Je dois d'abord connaître le régime de marché pour TSLA le 2019-05-08,get_regime
2,TSLA,2019-05-08,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-05-08,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-07-13,Je dois d'abord connaître le régime de marché pour TSLA le 2018-07-13,get_regime
2,TSLA,2018-07-13,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-07-13,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-03-28,Je dois d'abord connaître le régime de marché pour TSLA le 2018-03-28,get_regime
2,TSLA,2018-03-28,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-03-28,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-06-27,Je dois d'abord connaître le régime de marché pour TSLA le 2019-06-27,get_regime
2,TSLA,2019-06-27,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-06-27,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-07-05,Je dois d'abord connaître le régime de marché pour TSLA le 2018-07-05,get_regime
2,TSLA,2018-07-05,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-07-05,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-04-26,Je dois d'abord connaître le régime de marché pour TSLA le 2018-04-26,get_regime
2,TSLA,2018-04-26,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-04-26,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-12-04,Je dois d'abord connaître le régime de marché pour TSLA le 2018-12-04,get_regime
2,TSLA,2018-12-04,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-12-04,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-12-20,Je dois d'abord connaître le régime de marché pour TSLA le 2018-12-20,get_regime
2,TSLA,2018-12-20,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-12-20,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-01-31,Je dois d'abord connaître le régime de marché pour TSLA le 2019-01-31,get_regime
2,TSLA,2019-01-31,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-01-31,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-01-11,Je dois d'abord connaître le régime de marché pour TSLA le 2019-01-11,get_regime
2,TSLA,2019-01-11,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-01-11,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-04-26,Je dois d'abord connaître le régime de marché pour TSLA le 2019-04-26,get_regime
2,TSLA,2019-04-26,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-04-26,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-01-10,Je dois d'abord connaître le régime de marché pour TSLA le 2019-01-10,get_regime
2,TSLA,2019-01-10,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-01-10,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-09-10,Je dois d'abord connaître le régime de marché pour TSLA le 2018-09-10,get_regime
2,TSLA,2018-09-10,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-09-10,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-03-13,Je dois d'abord connaître le régime de marché pour TSLA le 2019-03-13,get_regime
2,TSLA,2019-03-13,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-03-13,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-07-02,Je dois d'abord connaître le régime de marché pour TSLA le 2018-07-02,get_regime
2,TSLA,2018-07-02,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-07-02,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-09-19,Je dois d'abord connaître le régime de marché pour TSLA le 2019-09-19,get_regime
2,TSLA,2019-09-19,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-09-19,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-07-24,Je dois d'abord connaître le régime de marché pour TSLA le 2019-07-24,get_regime
2,TSLA,2019-07-24,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-07-24,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-06-26,Je dois d'abord connaître le régime de marché pour TSLA le 2019-06-26,get_regime
2,TSLA,2019-06-26,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-06-26,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-03-05,Je dois d'abord connaître le régime de marché pour TSLA le 2019-03-05,get_regime
2,TSLA,2019-03-05,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-03-05,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-07-09,Je dois d'abord connaître le régime de marché pour TSLA le 2019-07-09,get_regime
2,TSLA,2019-07-09,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-07-09,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-10-02,Je dois d'abord connaître le régime de marché pour TSLA le 2018-10-02,get_regime
2,TSLA,2018-10-02,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-10-02,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-03-27,Je dois d'abord connaître le régime de marché pour TSLA le 2018-03-27,get_regime
2,TSLA,2018-03-27,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-03-27,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-06-26,Je dois d'abord connaître le régime de marché pour TSLA le 2018-06-26,get_regime
2,TSLA,2018-06-26,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-06-26,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-10-15,Je dois d'abord connaître le régime de marché pour TSLA le 2019-10-15,get_regime
2,TSLA,2019-10-15,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-10-15,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2020-02-24,Je dois d'abord connaître le régime de marché pour TSLA le 2020-02-24,get_regime
2,TSLA,2020-02-24,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2020-02-24,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-02-05,Je dois d'abord connaître le régime de marché pour TSLA le 2019-02-05,get_regime
2,TSLA,2019-02-05,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-02-05,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-06-27,Je dois d'abord connaître le régime de marché pour TSLA le 2018-06-27,get_regime
2,TSLA,2018-06-27,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-06-27,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-11-23,Je dois d'abord connaître le régime de marché pour TSLA le 2018-11-23,get_regime
2,TSLA,2018-11-23,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-11-23,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-10-18,Je dois d'abord connaître le régime de marché pour TSLA le 2019-10-18,get_regime
2,TSLA,2019-10-18,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-10-18,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-06-20,Je dois d'abord connaître le régime de marché pour TSLA le 2018-06-20,get_regime
2,TSLA,2018-06-20,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-06-20,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-10-23,Je dois d'abord connaître le régime de marché pour TSLA le 2018-10-23,get_regime
2,TSLA,2018-10-23,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-10-23,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-06-01,Je dois d'abord connaître le régime de marché pour TSLA le 2018-06-01,get_regime
2,TSLA,2018-06-01,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-06-01,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-10-22,Je dois d'abord connaître le régime de marché pour TSLA le 2019-10-22,get_regime
2,TSLA,2019-10-22,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-10-22,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-05-21,Je dois d'abord connaître le régime de marché pour TSLA le 2019-05-21,get_regime
2,TSLA,2019-05-21,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-05-21,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2018-07-03,Je dois d'abord connaître le régime de marché pour TSLA le 2018-07-03,get_regime
2,TSLA,2018-07-03,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2018-07-03,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2020-01-24,Je dois d'abord connaître le régime de marché pour TSLA le 2020-01-24,get_regime
2,TSLA,2020-01-24,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2020-01-24,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2019-06-18,Je dois d'abord connaître le régime de marché pour TSLA le 2019-06-18,get_regime
2,TSLA,2019-06-18,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2019-06-18,J'ai assez d'informations pour générer un signal,generate_signal
1,TSLA,2020-02-05,Je dois d'abord connaître le régime de marché pour TSLA le 2020-02-05,get_regime
2,TSLA,2020-02-05,Je dois chercher les news récentes sur TSLA,search_news
3,TSLA,2020-02-05,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2019-05-30,Je dois d'abord connaître le régime de marché pour NVDA le 2019-05-30,get_regime
2,NVDA,2019-05-30,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2019-05-30,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2020-03-11,Je dois d'abord connaître le régime de marché pour NVDA le 2020-03-11,get_regime
2,NVDA,2020-03-11,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2020-03-11,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2019-12-12,Je dois d'abord connaître le régime de marché pour NVDA le 2019-12-12,get_regime
2,NVDA,2019-12-12,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2019-12-12,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2018-10-19,Je dois d'abord connaître le régime de marché pour NVDA le 2018-10-19,get_regime
2,NVDA,2018-10-19,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2018-10-19,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2020-03-13,Je dois d'abord connaître le régime de marché pour NVDA le 2020-03-13,get_regime
2,NVDA,2020-03-13,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2020-03-13,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2018-09-19,Je dois d'abord connaître le régime de marché pour NVDA le 2018-09-19,get_regime
2,NVDA,2018-09-19,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2018-09-19,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2019-01-04,Je dois d'abord connaître le régime de marché pour NVDA le 2019-01-04,get_regime
2,NVDA,2019-01-04,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2019-01-04,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2020-03-26,Je dois d'abord connaître le régime de marché pour NVDA le 2020-03-26,get_regime
2,NVDA,2020-03-26,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2020-03-26,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2019-06-28,Je dois d'abord connaître le régime de marché pour NVDA le 2019-06-28,get_regime
2,NVDA,2019-06-28,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2019-06-28,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2019-03-08,Je dois d'abord connaître le régime de marché pour NVDA le 2019-03-08,get_regime
2,NVDA,2019-03-08,Je dois chercher les news récentes sur NVDA,search_news
3,NVDA,2019-03-08,J'ai assez d'informations pour générer un signal,generate_signal
1,NVDA,2020-03-19,Je dois d'abord connaître le régime de marché pour NVDA le 2020-03-19,get_regime
2,NVDA,2020-03-19,Je dois chercher les news récentes sur NVDA,search_news
